order_id,payment_type,payment_installments,payment_value
Y72RuFd0mZnO,credit_card,3,90.89
JQnDQBQZYwWs,credit_card,1,1.51
qcXjhr3DZYmI,credit_card,1,56.79
3SQKKPbTrStx,credit_card,2,108.67
IKSlI8m4cXvg,credit_card,1,92.44
ubzoVELLkeoU,credit_card,2,11.78
FfjA9YfQ045p,wallet,1,106.87
pHtHYRoip8Cl,voucher,1,206.07
yGQcdep9edOe,voucher,1,145.48
O2vxSz1Ohmit,wallet,1,1635.51
CEHnEFl5VOdj,credit_card,2,1334.28
JYzOn3Ha1rNQ,credit_card,3,238.24
YjpdVhpi6ke5,wallet,1,589.2
xmCgQrZviQ4N,credit_card,3,215.54
DWf9VC5hYd07,credit_card,10,197.59
gMRkjz3CrUnd,credit_card,3,317.95
1sBsJeYdxAI1,credit_card,1,1300.57
6NKIoWu3AOZS,credit_card,1,26.1
fQ58lYglAHz2,credit_card,4,88.49
0Eab4qSWCSyh,credit_card,3,1301.01
RCsCygUAyk50,credit_card,2,417.83
POj27FIujdqj,credit_card,1,99.9
lTxzZyJHvbIZ,wallet,1,33.88
PbW1A2IELHIL,wallet,1,93.31
RYBegQzM81NV,wallet,1,233.0
uIMjdIbbLKuf,credit_card,7,34.84
jj4qFCWCsUSC,wallet,1,120.73
JBctb1NlmsLO,credit_card,3,5.73
V98wyh8HaJrC,credit_card,7,328.5
F7SlozxlB98i,credit_card,3,383.82
M9UeVfUqd5IQ,credit_card,10,271.31
XfRzUdQ4vXDb,credit_card,1,1549.41
KZdbnccspG6C,credit_card,9,142.23
aK8BUDSAUnAJ,credit_card,4,191.4
hdpKYesvGZeq,wallet,1,223.58
5jALvFXzAkdi,credit_card,2,50.06
RilBPuEjhaeQ,credit_card,3,273.96
Weun8cqlOfrB,wallet,1,316.76
1By8LOosrvF2,wallet,1,197.91
8XJCljLJRlic,credit_card,2,257.5
gQPaVIZUm0jj,voucher,1,163.33
k2K9LcU3wvcQ,credit_card,2,150.14
XQuhwBeGcadT,wallet,1,28.64
LARRQkCjz5Fs,credit_card,7,150.98
70G4cTVwm38h,wallet,1,228.11
8LfYKHvDTqIN,credit_card,10,37.45
D2X7rxN9EsBw,credit_card,4,96.86
HOFJukOFU41j,credit_card,2,54.62
uApWp6b4k8Y5,credit_card,1,59.22
7L8qUUgsbhXY,credit_card,2,209.81
PvRgo7CeEN4f,credit_card,10,638.55
aDxB5SgA7C4q,credit_card,3,0.33
AHI2VGgmwKwA,wallet,1,208.07
0gxtU32XLhDR,credit_card,3,1.22
NqkFWmoEkOni,credit_card,6,303.46
uT2NLXe4uIbX,credit_card,2,85.52
csNKQHT4LjSP,wallet,1,96.64
ff6LV2J7cd1m,wallet,1,451.23
2DhVqmEuKWsy,voucher,1,333.6
VBLoTukvL7qH,credit_card,3,116.6
Xz9xN4y9ehaz,wallet,1,123.57
ME2UeeIZeHQQ,credit_card,1,217.37
Y8qzXFVs2NdT,credit_card,3,138.65
O9usX12ihwJ4,wallet,1,284.81
UnPOaR1OCnNc,credit_card,1,408.66
BERp5cg4oEws,credit_card,5,231.76
BtFtgxewQU3o,credit_card,1,32.64
KZQpsmctCSfS,credit_card,3,111.66
g9qI3z1YAvNw,credit_card,1,606.48
aMzeNC1KCVOQ,credit_card,2,1148.75
dZuZBawSN57o,credit_card,5,183.4
nKbHlRgVGlF3,credit_card,8,236.92
P09ArFA0BZRP,wallet,1,343.54
XbYUfEsyagnN,voucher,1,419.44
mofZTSTPPWxE,credit_card,2,41.15
rUQbmLj5M2QE,credit_card,1,114.79
QFwMop3sFZ9H,credit_card,4,113.71
hYDthrOpadOc,credit_card,1,126.72
TTBF9yOgN5EH,credit_card,5,254.19
F9i3hpJUc5HJ,credit_card,3,70.61
PzBniksLzOcM,wallet,1,517.24
UWss0GYyCTJq,credit_card,1,550.83
9fJpRKgzGYmY,credit_card,2,463.15
FyxzH1mhMBKM,credit_card,1,216.74
91fTReRt3k2s,credit_card,1,242.66
4BKIy9ysy6d8,credit_card,1,236.77
EztPEldn1Aha,credit_card,4,317.31
4WCFUeAivvDG,credit_card,8,144.18
3VPXNauA1hA6,credit_card,1,121.64
jMFLFVfabNrH,credit_card,6,106.43
PhYGGGCiQHKD,credit_card,6,184.46
RNy2CkQv9QO4,credit_card,2,193.82
RAhrqqxcXgA5,wallet,1,168.24
lFLPAbeUgKTV,credit_card,8,70.07
P6bxg4N8Cw1J,credit_card,2,195.44
YykeWYFjVZYE,credit_card,1,93.73
dHuy4so1fO7s,credit_card,1,171.04
bIVFvWVIw4jq,credit_card,1,53.69
tflNP98YJXRM,wallet,1,388.25
iThcgEagJGvM,credit_card,1,1200.0
MnaiNSJ6870y,credit_card,5,71.34
pvWUa3UvgInr,wallet,1,988.87
39TPZFziHhP2,debit_card,1,427.77
afDRwL1WXpA1,credit_card,2,1692.05
QBEax8koxs19,wallet,1,721.74
CtAfWF8UkMCP,credit_card,1,451.75
V4JFkZwCu5hF,credit_card,5,137.22
qwPG85b508Td,credit_card,4,336.32
pLnMJMmel09E,credit_card,2,343.54
7PvMPzzIkey5,credit_card,1,125.86
yWHy7JXGvc0Z,credit_card,7,114.84
GKjyAxdPwdIc,wallet,1,1381.83
SZIajujwn1Oo,credit_card,6,474.37
KL9BlcRxTqHu,credit_card,10,364.75
PULq31I4UKo4,credit_card,1,255.93
Y0bGpsoT1Vhh,credit_card,1,245.57
7LgpFGaazYyl,credit_card,5,158.71
88cwXsdwdeEH,credit_card,1,94.85
r7702612Pdfh,wallet,1,195.0
JhSAOXXtYcdN,wallet,1,8.32
lq2t00ICp3Em,credit_card,1,359.71
6nNyBTWOOOFA,credit_card,3,43.6
15IH5WU11wIZ,credit_card,3,819.47
ouRLjr6NSysJ,wallet,1,95.01
yDLykPwUGtqM,wallet,1,449.79
GHfebQ8QpH8l,credit_card,1,223.93
7XvMI5cx5mU0,credit_card,3,192.45
XDE3dFQJPztt,credit_card,10,44.8
dix4hRLqxcfL,wallet,1,2033.48
4W3f1ahNdmTs,credit_card,1,520.02
xljf54RoX9JP,wallet,1,6.57
2rs8IUIAS4rL,credit_card,4,125.02
B8V4EaW2eSh0,credit_card,3,101.01
FwheKtHhpBN2,credit_card,2,56.11
tPTCcbVjRfc3,credit_card,1,96.77
TGt9bWN79Nqz,credit_card,1,65.21
qJjvfYu6Y4fm,credit_card,1,232.27
JT0oXIkh4Gzh,voucher,1,123.97
yr2H21aRoD3h,credit_card,1,193.73
3kStl9hl8CfT,credit_card,9,144.17
HG9ftAgQxhF4,credit_card,4,61.31
sm0ZEnWNt7qQ,credit_card,1,91.3
KuKfiKKJLTwK,credit_card,4,470.5
0JDo7VjW8fwo,credit_card,1,1028.3
07amSeyheu9N,credit_card,1,55.01
0HR2Bu3Sp4gp,credit_card,4,414.46
3BfkNOSXE9fK,credit_card,2,16.78
5WmmehR17vqk,voucher,1,131.31
GRirh1b2z6Y3,wallet,1,42.91
67qinzyPqskj,credit_card,1,15.58
SSIHiYAn9TpY,credit_card,6,134.88
r6X1vpADLMvm,credit_card,5,228.57
FEIP98BAAYWW,credit_card,5,353.92
qlbb5qUbmXnJ,voucher,1,85.24
7ERc3mX6MCjK,wallet,1,191.11
Qnw2wAOmQylg,wallet,1,343.55
vU3xyuXEj2Ba,credit_card,4,63.99
Bie3bBbWriRw,credit_card,1,184.06
XQYgG1JMLACG,credit_card,1,135.13
qZUh5hge1625,credit_card,5,22.27
hlpMgRkYTHdL,credit_card,4,43.98
KwUxouAIwmnW,credit_card,8,99.75
Fl1jNEVLIouI,credit_card,5,216.27
CbQkhuNUU3S3,wallet,1,228.67
tVdaOadCApSM,credit_card,2,312.62
G07cmuGKW2nd,credit_card,18,96.15
2Tdr9eDhdtIu,credit_card,1,236.29
p6iWM5qft7BH,wallet,1,349.89
oJ1LprF3qOBG,credit_card,1,25.58
ZJ852hQOuseH,credit_card,5,63.83
iHnDLespPUlT,credit_card,3,106.74
9LyEELGHWgoP,credit_card,3,665.87
y8qmpWJzBTA5,credit_card,1,294.3
MsJrJ9vfOmvF,wallet,1,147.23
ItgUvaUVS9ws,credit_card,2,747.25
2YWdoyxm7ge9,credit_card,9,345.29
JDsexkka1RtD,credit_card,1,150.39
Hoy9CyALWGZJ,credit_card,1,313.54
i3YWWZIz8fk7,wallet,1,203.52
RM4M9i8Yn5x4,wallet,1,43.74
1oVrUY75oStu,credit_card,1,137.93
YuEmUNymzcGv,credit_card,4,1221.39
kF1ka6uV5YnM,credit_card,2,689.66
jkbVqP4aWneg,credit_card,4,554.49
dxOwaxOE1nT0,credit_card,1,433.34
qwLvLVlwqlcq,credit_card,3,579.0
ulZ0mI7peyf7,credit_card,2,29.17
lUA0GIMIbFvS,credit_card,1,10.02
b2u1yVa2LdNK,credit_card,4,208.44
na3M0MEGCGf8,credit_card,1,198.78
vbRiAK2RZdlx,wallet,1,129.18
QHnQzNJRBS8w,credit_card,8,74.21
ZHsymoudGwgy,credit_card,8,39.67
7PK4NRV2nhjw,credit_card,2,927.87
Ss9iY5xxCC5S,credit_card,1,128.93
FhbdaS77ToDk,voucher,1,13.48
ZgJAIFrZP7wi,credit_card,4,329.02
DYDQgIcAmOCk,wallet,1,93.13
zhV4YwJcMaf6,credit_card,7,413.72
KWuqSsip5IPL,wallet,1,124.92
u6wIOFvJPMJx,wallet,1,125.51
wILgQcnuMP8h,wallet,1,205.18
cHueggO8i50e,credit_card,3,168.18
gwGItwZIp6b9,credit_card,1,100.17
52dDBTqijGgS,wallet,1,804.72
QfmncxTUYMeM,credit_card,6,201.3
t4Bk5mYUoL8U,credit_card,2,158.58
RAwGupGDXwd5,credit_card,1,157.5
YTg0u33hKRJZ,credit_card,2,227.58
4lSWIJZYPkdj,credit_card,3,236.58
XVYh21794I2q,credit_card,1,479.17
T02ERQXo0cHk,wallet,1,242.44
MoHhpMorkOQe,wallet,1,99.4
xvCjkl7oHF4p,credit_card,4,316.01
NbPquApcLFZJ,credit_card,1,257.29
bOw1sP6xIXEv,credit_card,1,149.33
V5N9aEmfprUb,credit_card,9,37.79
xhdUS3Lb7QvK,wallet,1,132.42
uleJoXLnjRWP,credit_card,4,59.96
AcBnJUivl9Dg,credit_card,3,30.66
ATdWeoeua8ai,credit_card,8,2.35
joyYy74OGHWZ,credit_card,1,361.07
aqM0Dr00Ru7e,credit_card,3,138.94
su9qtpmYRRZ4,wallet,1,134.38
QQkl6VprDdPC,voucher,1,33.48
70MKHgNqgYMn,credit_card,4,13.89
NwV6qaWsqsqx,credit_card,10,94.22
Yg64phKM9oJa,credit_card,3,48.19
4T5ho4MRp4mJ,credit_card,4,3009.53
I4h2Vl1Vy4vZ,credit_card,4,203.82
gnVDCx1e4YD7,credit_card,3,404.44
DtKD3sdpBpwJ,credit_card,1,112.7
ZN7DWjWqWQND,credit_card,10,73.01
6VKTocEU4N5n,wallet,1,76.14
eVdINTRc6DTs,credit_card,1,48.73
1pVYIkz0eQfb,credit_card,1,420.76
NDgEVmGllteq,credit_card,2,272.18
CjC2wYcYXNMR,credit_card,5,72.18
IKNPNRlaS4PH,credit_card,3,35.03
gxecAzqugRRh,credit_card,1,152.25
uzwPcONTw6nT,credit_card,1,116.99
BP5PB2Da0Fhi,credit_card,8,313.99
3wKSoQagZseT,credit_card,1,91.6
8eWU8keN9FXT,credit_card,1,68.22
obepRrkmejN1,credit_card,2,313.93
M7QS4SdwfiNR,voucher,1,959.96
qcxJY5K5rPBi,credit_card,10,102.13
zBGSaqk6atNi,voucher,1,704.32
ogN2rxuWpNCK,credit_card,8,152.52
SU37F2XoUDJm,credit_card,10,159.85
2O4VRzPhg02a,credit_card,4,88.76
zMDPbvlnXGPI,credit_card,4,431.15
SkDe2m1n0yog,credit_card,2,87.36
yFIPmG5Qso5x,credit_card,2,225.03
PM660Hvl5ltN,wallet,1,220.27
GeOcwJMHVigj,credit_card,1,372.16
jYQul2d9y89V,debit_card,1,12.5
mQr7ud7RxjFh,wallet,1,338.84
IISLmGs2JnDH,credit_card,8,220.03
7fplap09K9uW,credit_card,3,389.16
TOB9XNU1gV1f,credit_card,6,118.11
69R4LtM3Dkwy,debit_card,1,504.65
uRWFD2jisRYY,credit_card,1,67.05
2bWGX09hpCzq,credit_card,1,18.23
w2wruPCem5Jb,credit_card,1,661.75
SCbGP1HdX6RG,voucher,1,4.33
dm1S9vmqr74a,wallet,1,420.86
4EczELWhsgzG,wallet,1,67.95
oKFxBuViwhe7,voucher,1,145.48
3T9PiPDcq3cK,credit_card,6,662.62
OFGFuIiesVzM,credit_card,10,53.81
fYRfJWDPpozD,credit_card,5,86.43
dRXwZhgcISmk,credit_card,10,133.1
g3HasEpzawM0,wallet,1,158.6
YFisdGiOJ3Os,credit_card,3,2590.61
gVMHJHnYDmla,credit_card,2,90.74
Hl9PAWXsdmPU,credit_card,2,228.57
8EmYv2JrQoVM,credit_card,10,211.44
ECV62MnnmTLX,wallet,1,1221.39
4NRNwKsOveDT,credit_card,3,284.89
WLTmxfRLxDdY,credit_card,5,1378.79
yfKNH3zw6uaS,wallet,1,86.16
Dp4K8yh2l2kZ,credit_card,6,149.58
aMOKAbOn7YS7,wallet,1,277.99
ANKr9b0fQOG1,credit_card,1,135.2
ucFzWwW4Vl7H,wallet,1,148.35
iz8xwkPzbsgV,credit_card,4,213.98
Kc54kqG0Wpw8,credit_card,2,117.1
cgMyKDbuomMt,credit_card,1,92.8
FkANVps9FhLR,wallet,1,159.34
7Y0OW6ELHx3i,wallet,1,210.43
HlW2kBbHE67m,credit_card,10,176.9
D1OV1U2a3Dd9,credit_card,4,625.74
ZNBlTjWkNiMH,credit_card,1,123.06
gHGTiMNfZcmq,credit_card,2,1351.94
Dy69GWcqgkqf,credit_card,4,581.3
QwSOLcN5DDBN,wallet,1,240.1
rlc5qsr3lw0i,wallet,1,60.38
1bZN4leiyzZ4,credit_card,1,151.14
DUCbyz8Y4PXF,debit_card,1,242.99
vPxoToV6CRId,credit_card,2,74.91
NTazQkCK4mha,wallet,1,178.2
TjF3h3fwXHmp,wallet,1,145.79
EqBP17oa5BoZ,voucher,1,192.22
KPHhhqVaXYdi,credit_card,1,419.06
gJgR2JBSDnis,credit_card,4,58.9
331m4OTrDpnd,credit_card,4,335.77
9hcMqNyHVfL9,credit_card,1,114.8
Es4nrInds5z1,credit_card,1,123.18
nwjBTosPuevD,credit_card,2,10.27
jarjuWpL85e5,wallet,1,84.78
YktohNPMpWQU,credit_card,10,732.68
lajv1hDHncw5,wallet,1,9.81
cchlhN4a6RjF,credit_card,3,1057.4
UmAkM11j0kiw,voucher,1,154.12
kRiuUpaRSRej,credit_card,5,168.02
LSUcOPGdyZYA,wallet,1,293.66
XGCdHW22bmYg,credit_card,3,115.18
7ggBH9rrPWbp,credit_card,1,152.03
lFU2gz4lUKB7,credit_card,2,912.55
r3hALQT93EsB,credit_card,10,190.53
DliowlQV2yV8,wallet,1,87.46
VGnTuPH9ikhV,credit_card,2,151.72
BEzrXmUJ6jSb,wallet,1,429.29
AJotPdRaKwyY,credit_card,8,309.32
6EBIqp1t8jl5,credit_card,10,501.44
uLmOgKmOLOZ9,credit_card,2,115.73
Nfrsb5Agsaby,credit_card,1,328.73
8MaujlQxejKT,credit_card,3,27.76
0wKwjdY1z51U,credit_card,1,195.32
8IWGm9dmvitQ,credit_card,5,99.68
Uvm3eqrT5PNd,wallet,1,202.68
JEVjyOfz3vRF,credit_card,3,44.7
aCYHSPFKCaJ5,credit_card,3,126.96
iU5dRkT0UbRu,credit_card,1,600.3
JIjVStAX1OqF,credit_card,2,189.92
y0i7sJkjdEnZ,credit_card,1,81.72
JTeAJcOZLKTU,credit_card,4,131.84
lle7tPix4LOq,credit_card,10,110.92
URhgir8jvpA7,credit_card,10,492.92
sNzXLjJHimxW,credit_card,10,118.15
ZDuilm8eBY8K,credit_card,1,113.66
AQvbQzBW9VJT,credit_card,3,104.55
RQIsWBWnB9m5,credit_card,1,449.79
dq03LBuhzhir,credit_card,1,65.18
C8hRwTzyYNIc,wallet,1,149.46
yXSLbq8jJNLB,credit_card,1,248.1
geEz6xDLz5yY,credit_card,8,284.9
C2sEixmhn3Bk,credit_card,6,167.52
AICU9CQf9zNO,wallet,1,406.6
MxHsuryS8LDA,voucher,1,249.55
LB95k1HA7Zcz,credit_card,5,521.56
uwY1Cm3kWeg9,credit_card,10,522.34
FDCy2o1xPwo3,credit_card,1,365.78
8G2Uai1drYy5,credit_card,8,284.63
DgvTsaRmVUTl,wallet,1,61.48
63ky5p0OERua,credit_card,8,1937.64
701sy0G7mOQ4,credit_card,3,48.05
zc2WqkEwtq8S,wallet,1,58.96
PUH8liKD2nMy,credit_card,7,520.29
3cjwQmNcyEID,credit_card,8,68.29
lLBlCuLkfwDu,credit_card,2,718.09
yVw8kpKnf4bl,credit_card,10,296.53
alOioG9itvvW,credit_card,2,146.58
glzxn5Tdk8dr,credit_card,2,197.8
1MkWBKhNk2G2,credit_card,9,179.68
wdcmll8A2yGF,credit_card,1,116.28
xdijSPsTAPql,credit_card,1,818.35
NbQV5WtslDAS,credit_card,1,36.13
ITKgY0urYeu7,credit_card,1,18.37
8ULwfJfKC6XD,credit_card,1,260.64
AiP8lT0mFF7y,wallet,1,58.12
lqrQCkYg3Y3o,wallet,1,1221.39
CA4yQTJD2eiB,credit_card,6,37.73
UkX9eB4Ysi2J,credit_card,3,171.85
HuQIRVYlkITN,wallet,1,61.12
5AsEcT7IYeA3,credit_card,2,315.73
Q7ASsRpNrBxk,credit_card,3,259.59
Dycnfztussic,credit_card,3,124.89
sOiwCjCP0BHJ,credit_card,1,284.06
ZcNIUEIyKw56,credit_card,6,44.91
w8aXNo679Adb,credit_card,1,135.2
0YFgarYz9KnD,credit_card,4,174.56
GS7TlrcV9EiI,credit_card,3,247.26
tbLoJTFmN51K,credit_card,1,14.0
41ESOI7q77l3,credit_card,4,311.71
oCxakpgwrvu5,wallet,1,8.6
FylcoNawsxyy,credit_card,2,396.03
uCLVoajqUFe1,wallet,1,129.32
OLLjAyjGntvG,wallet,1,6.39
KJxxYx3EGV4B,credit_card,6,129.8
mFXys1P5pvQ5,credit_card,1,243.33
vXElUhy375Ae,credit_card,10,21.31
xmcXAV3y0bzJ,wallet,1,484.94
Ku21hqzA50fH,credit_card,2,183.43
x9dwFj4vKMRU,wallet,1,570.88
XLeQfRSnRNga,debit_card,1,135.05
Mqoc2kiYI3XM,credit_card,8,2190.4
vqh6eg0BksBs,credit_card,2,39.6
9D8fitQjsM9C,credit_card,10,117.41
xMn70jAErNfN,credit_card,1,67.12
D9mE5Q90Nf0c,credit_card,1,71.56
DsABekzFQyU4,credit_card,1,63.6
dTAum02ChYzP,credit_card,4,827.0
OM78YcahNs15,credit_card,4,291.28
v6e0KeIp6TR0,credit_card,2,68.37
xyZOTBOGYS1h,credit_card,3,100.75
rfB6JCOObUDp,credit_card,1,248.35
HWqnn5IXITK4,credit_card,4,238.12
QsnXzn81euhJ,credit_card,5,444.1
exOQg7m3Sv9n,credit_card,2,368.29
RJT4YsFAk3ci,wallet,1,1328.59
Ov4oeDoDBLDi,wallet,1,184.18
5L43IjiSehHQ,credit_card,10,379.11
bCnfj6xHCFOx,credit_card,8,178.21
6umanlRafhLf,credit_card,10,460.18
cENYAJaIHNla,wallet,1,456.55
cou5BOfG0Qsq,credit_card,10,130.8
gkaWP7jDVzBF,credit_card,1,94.56
BCY4SRQsss8K,credit_card,1,238.01
7xlSrnNUzJ7d,credit_card,3,68.69
R6ygz8evEigC,credit_card,5,386.93
ksrTAYeFnsV1,credit_card,8,116.47
pOql8iFBh4Iw,credit_card,8,17.65
FIaJsapwoV1R,credit_card,2,364.51
Vur5MhhCt0x1,wallet,1,480.4
sVWyv0xiWehd,credit_card,1,107.01
p3rNQye3irvJ,credit_card,5,256.92
ym7urKvj9pte,credit_card,10,523.8
1qhHdCUhXB8J,credit_card,8,583.82
FH9eB1V2z40G,credit_card,2,70.33
9HXMZnutBe9j,credit_card,1,49.2
eu4dd2aRYj3o,credit_card,8,256.22
bOKzcUZD83Dq,credit_card,1,211.11
f0NtxnekM0Md,credit_card,3,210.91
fbxwlTI9qHcB,wallet,1,9.69
VTzLEGJjpqPL,wallet,1,36.2
fjJY9zCsuFDi,credit_card,5,75.84
cDMJrGrrOoYt,debit_card,1,88.33
u2LLRVu0NJ5j,wallet,1,309.05
khb18hvvVBQJ,credit_card,4,2106.55
XIxJ9bWwBB9H,wallet,1,9.69
QV7X4FVpuyAr,credit_card,2,267.51
r2pGiTPyVUb8,credit_card,6,432.34
019iNT2eSEYM,credit_card,3,313.93
qg4W0HLyulXG,wallet,1,415.43
fmlplnDdZ8Oz,credit_card,6,123.54
2ey2s9qe4Wiu,credit_card,6,510.96
sye2YNO5Uu6J,wallet,1,106.11
7J51qVGXlaSG,credit_card,8,20.89
yHgXRJyvsYXX,credit_card,6,655.55
5rg741FpkxIr,wallet,1,121.62
9k5vXTwWOOaC,credit_card,3,188.38
EfVZi44dhjyG,credit_card,1,1472.47
no1GZs08Zd41,credit_card,10,590.9
ZXgbr47zue5Z,credit_card,1,41.17
QMdfpILdzGOX,credit_card,1,38.86
0GUEzCRZw8RQ,credit_card,1,39.89
TQc1grf246nI,wallet,1,105.83
Cx0IO6wIeU62,credit_card,3,197.45
gtrzn1LyN7dM,wallet,1,155.94
sV3bmdLLSYEp,credit_card,6,345.55
G0fNhWSqsZb7,credit_card,1,379.73
WXcoK0OVv8In,voucher,1,468.91
vDymA3CI1pDJ,credit_card,3,222.81
KUNxbxkfA1nj,credit_card,8,276.58
IHXVkQvfAsMA,credit_card,1,63.59
9UCJ8BRjEgot,credit_card,1,306.98
Q3YibHwyBHh7,credit_card,6,331.96
BnY8FrzUAhTn,credit_card,2,4.92
Chxh5OmnkkhE,credit_card,1,352.16
TymnnOhZXawd,credit_card,2,191.77
dIsCKnUfDcpC,wallet,1,110.71
E3BBgIXmGWal,voucher,1,169.1
C5GkkTqFN4Hr,credit_card,1,416.48
1ZvUvh9sKC3s,credit_card,8,10.21
pWRjBubXBYdq,wallet,1,46.52
THdX6i25GCJd,credit_card,5,236.84
2bK5G1aq5MJc,credit_card,2,187.16
IXlbB5X0g6bK,credit_card,1,60.99
e0k10KUl0ufv,credit_card,8,5.32
vPV8OMoC51eh,credit_card,6,557.36
k7u4RM3C6ESy,credit_card,2,173.35
DspisZtbLCH0,credit_card,10,80.2
zKT26fKT4P90,credit_card,3,71.73
h0wSbgpaRTpU,credit_card,3,91.14
SzNUGbFZDxaq,credit_card,1,108.89
Ay4kOOtGGyYh,credit_card,5,75.72
1pmrI7xypD8L,wallet,1,1284.25
zSyk19rBT584,credit_card,2,17.65
jbaRwWAw6rZ6,credit_card,2,169.56
9gez7iVvh2oX,credit_card,8,204.22
4XWA1rachUdJ,wallet,1,12.68
eyuM8iHAWRxi,credit_card,8,152.78
5mcR9y7YNybJ,credit_card,2,1020.78
c5DmDr7kqedy,credit_card,1,63.41
uhB6rdTAR0wx,credit_card,2,54.27
4EHBweGbQglj,credit_card,2,137.42
pgnfFcOqhJXi,credit_card,1,7.19
2cpMWJDLf8YU,credit_card,10,199.2
khzxhBmvAaVD,credit_card,6,7.13
KtF2SNhs2cf4,credit_card,3,50.21
nMw7sLGXVk83,credit_card,4,50.02
vBQ4cXHIcKcu,credit_card,3,517.7
wLmSeX7aRYYJ,credit_card,10,174.15
